a	0.139271
a'dam	0.146775
a's	0.065854
aa	-0.488819
aac	0.639252
aachen	0.744612
aack	-0.459360
aaddiiss	0.339147
aaden	-1.894445
aaf	0.744612
aafreen	1.332399
aag	0.233787
aages	-0.736992
aagghh	-1.229469
aagh	-0.846476
aaghh	-1.740294
aagw	0.744612
aah	-0.012659
aahaa	-0.864826
aahah	1.150077
aahaha	0.967756
aahh	-0.186067
aahw	-1.201298
aai	0.051465
aaj	0.898763
aakriti	1.555543
aal	0.456930
aalaap	0.798680
aalcohol	0.339147
aalisson	1.843225
aaliyah	-1.087969
aaliyahlove	0.680074
aaliyon	1.843225
aall	0.082237
aalmiray	0.339147
aam	1.092919
aamaris	-1.047147
aamazing	0.302780
aamelia	0.387937
aami	1.150077
aamir	0.744612
aamwilliams	-0.171678
aamyfish	0.274609
aamyhaanson	0.051465
aan	0.898763
aand	0.121058
aang	0.562291
aannd	0.839923
aanndd	0.387937
aao	0.967756
aap	0.611081
aapko	0.967756
aapl	0.562291
aar	0.138477
aardvark	1.150077
aare	0.562291
aarg	-1.201298
aarggh	-2.145759
aargghh	-2.145759
aargh	-1.650143
aarghh	-1.963438
aarh	-1.740294
aaron	0.056885
aaron's	-0.102685
aaronage	0.562291
aaronaiken	1.997375
aaronbassett	0.967756
aaroncarter	-2.412388
aaroncorby	-0.641682
aaronfuller	-2.027976
aaronob	-0.736992
aaronrenfree	-0.285007
aaronrgillespie	0.744612
aaronrothe	0.744612
aarons	0.051465
aaronstrout	1.032294
aarr	-0.641682
aarrgg	-2.145759
aarrggh	-1.201298
aarrgghh	-1.826237
aarrgh	-1.474591
aarrghh	-2.656585
aarthycrazy	0.521469
aaruc	0.456930
aas	0.456930
aashleyy	-0.236217
aaspby	-0.236217
aaswartz	1.843225
aat	-0.929364
aatom	0.051465
aau	-1.334829
aaw	-0.223380
aawesome	2.248690
aawh	0.233787
aaww	-0.201370
aawwee	-0.236217
aay	-0.641682
aaya	0.967756
aayy	0.274609
